ms,read
187883,101151
187926,101162
187969,101174
188012,101195
188055,101217
188098,101220
188141,101243
188184,101254
188227,101259
188270,101263
188313,101254
188356,101256
188399,101245
188442,101243
188485,101247
188528,101233
188571,101216
188614,101208
188657,101194
188700,101189
188743,101173
188786,101161
188829,101152
188872,101146
188915,101146
188958,101150
189001,101145
189044,101164
189087,101187
189130,101204
189173,101220
189216,101236
189259,101253
189302,101259
189345,101266
189388,101262
189431,101260
189474,101258
189517,101246
189560,101236
189603,101222
189646,101217
189689,101205
189732,101187
189775,101176
189818,101163
189861,101141
189904,101141
189947,101145
189990,101148
190033,101158
190076,101167
190119,101186
190162,101207
190205,101222
190248,101237
190291,101248
190334,101261
190377,101266
190420,101267
190463,101261
190506,101263
190549,101257
190592,101248
190635,101232
190678,101222
190721,101205
190764,101188
190807,101169
190850,101157
190893,101141
190936,101140
190979,101140
191022,101146
191065,101147
191108,101163
191151,101187
191194,101209
191237,101225
191280,101233
191323,101245
191366,101255
191409,101262
191452,101258
191495,101252
191538,101256
191581,101255
191624,101247
191667,101242
191710,101228
191753,101216
191796,101207
191839,101192
191882,101173
191925,101163
191968,101158
192011,101154
192054,101162
192097,101161
192140,101165
192183,101170
192226,101183
192269,101205
192312,101214
192355,101225
192398,101241
192441,101248
192484,101251
192527,101245
192570,101248
192613,101241
192656,101245
192699,101239
192742,101221
192785,101212
192828,101212
192871,101200
192914,101187
192957,101164
193000,101161
193043,101157
193086,101157
193129,101159
193172,101165
193215,101175
193258,101190
193301,101213
193344,101220
193387,101235
193430,101250
193473,101262
193516,101258
193559,101259
193602,101254
193645,101244
193688,101238
193731,101230
193774,101210
193817,101199
193860,101185
193903,101171
193946,101164
193989,101154
194032,101151
194075,101145
194118,101155
194161,101171
194204,101187
194247,101208
194290,101218
194333,101234
194376,101254
194419,101257
194462,101260
194505,101265
194548,101262
194591,101264
194634,101256
194677,101240
194720,101229
194763,101214
194806,101211
194849,101178
194892,101171
194935,101165
194978,101156
195021,101146
195064,101155
195107,101165
195150,101181
195193,101194
195236,101214
195279,101219
195322,101226
195365,101235
195408,101246
195451,101251
195494,101258
195537,101254
195580,101253
195623,101243
195666,101244
195709,101225
195752,101210
195795,101183
195838,101161
195881,101147
195924,101143
195967,101140
196010,101138
196053,101155
196096,101176
196139,101202
196182,101215
196225,101229
196268,101238
196311,101243
196354,101249
196397,101234
196440,101212
196483,101212
196526,101209
196569,101211
196612,101213
196655,101211
196698,101214
196741,101218
196784,101214
196827,101209
196870,101207
196913,101213
196956,101193
196999,101153
197042,101131
197085,101122
197128,101129
197171,101143
197214,101170
197257,101205
197300,101220
197343,101241
197386,101245
197429,101253
197472,101261
197515,101260
197558,101256
197601,101250
197644,101246
197687,101233
197730,101216
197773,101214
197816,101195
197859,101158
197902,101147
197945,101139
197988,101135
198031,101142
198074,101159
198117,101181
198160,101195
198203,101216
198246,101224
198289,101231
198332,101242
198375,101250
198418,101256
198461,101257
198504,101259
198547,101247
198590,101251
198633,101240
198676,101236
198719,101224
198762,101216
198805,101203
198848,101183
198891,101164
198934,101148
198977,101133
199020,101140
199063,101148
199106,101155
199149,101179
199192,101204
199235,101218
199278,101231
199321,101248
199364,101264
199407,101275
199450,101281
199493,101283
199536,101277
199579,101269
199622,101263
199665,101247
199708,101220
199751,101213
199794,101178
199837,101144
199880,101128
199923,101121
199966,101125
200009,101128
200052,101145
200095,101180
200138,101210
200181,101225
200224,101238
200267,101249
200310,101251
200353,101263
200396,101261
200439,101251
200482,101247
200525,101246
200568,101243
200611,101227
200654,101211
200697,101190
200740,101165
200783,101134
200826,101125
200869,101128
200912,101130
200955,101142
200998,101158
201041,101189
201084,101212
201127,101225
201170,101244
201213,101254
201256,101262
201299,101266
201342,101258
201385,101253
201428,101253
201471,101248
201514,101245
201557,101228
201600,101211
201643,101203
201686,101179
201729,101150
201772,101132
201815,101121
201858,101134
201901,101150
201944,101171
201987,101190
202030,101216
202073,101227
202116,101236
202159,101249
202202,101255
202245,101257
202288,101254
202331,101252
202374,101245
202417,101239
202460,101223
202503,101209
202546,101196
202589,101171
202632,101159
202675,101145
202718,101142
202761,101136
202804,101143
202847,101162
202890,101187
202933,101211
202976,101216
203019,101231
203062,101246
203105,101252
203148,101249
203191,101260
203234,101256
203277,101256
203320,101244
203363,101241
203406,101232
203449,101208
203492,101194
203535,101169
203578,101150
203621,101142
203664,101144
203707,101151
203750,101164
203793,101170
203836,101191
203879,101207
203922,101218
203965,101234
204008,101242
204051,101249
204094,101252
204137,101253
204180,101253
204223,101247
204266,101239
204309,101223
204352,101210
204395,101185
204438,101164
204481,101146
204524,101143
204567,101137
204610,101143
204653,101150
204696,101163
204739,101187
204782,101211
204825,101220
204868,101234
204911,101249
204954,101254
204997,101254
205040,101262
205083,101257
205126,101247
205169,101241
205212,101237
205255,101219
205298,101210
205341,101196
205384,101174
205427,101162
205470,101150
205513,101138
205556,101143
205599,101131
205642,101118
205685,101141
205728,101173
205771,101204
205814,101217
205857,101233
205900,101256
205943,101257
205986,101256
206029,101254
206072,101248
206115,101246
206158,101243
206201,101218
206244,101208
206287,101184
206330,101155
206373,101143
206416,101136
206459,101148
206502,101147
206545,101175
206588,101195
206631,101213
206674,101219
206717,101237
206760,101244
206803,101255
206846,101260
206889,101258
206932,101253
206975,101251
207018,101244
207061,101222
207104,101210
207147,101194
207190,101172
207233,101156
207276,101151
207319,101154
207362,101163
207405,101162
207448,101184
207491,101201
207534,101216
207577,101229
207620,101247
207663,101269
207706,101270
207749,101272
207792,101258
207835,101253
207878,101246
207921,101239
207964,101227
208007,101216
208050,101204
208093,101164
208136,101144
208179,101140
208222,101143
208265,101157
208308,101181
208351,101211
208394,101219
208437,101225
208480,101238
208523,101251
208566,101258
208609,101254
208652,101250
208695,101251
208738,101246
208781,101239
208824,101217
208867,101209
208910,101184
208953,101161
208996,101148
209039,101139
209082,101139
209125,101141
209168,101149
209211,101166
209254,101194
209297,101209
209340,101224
209383,101237
209426,101251
209469,101259
209512,101257
209555,101251
209598,101253
209641,101244
209684,101245
209727,101224
209770,101207
209813,101179
209856,101149
209899,101141
209942,101134
209985,101152
210028,101179
210071,101204
210114,101217
210157,101239
210200,101251
210243,101250
210286,101255
210329,101253
210372,101250
210415,101248
210458,101243
210501,101236
210544,101217
210587,101201
210630,101165
210673,101148
210716,101147
210759,101149
210802,101159
210845,101168
210888,101187
210931,101206
210974,101217
211017,101231
211060,101251
211103,101260
211146,101265
211189,101272
211232,101263
211275,101263
211318,101254
211361,101239
211404,101218
211447,101189
211490,101161
211533,101137
211576,101127
211619,101140
211662,101157
211705,101174
211748,101198
211791,101218
211834,101233
211877,101249
211920,101260
211963,101258
212006,101257
212049,101258
212092,101258
212135,101246
212178,101233
212221,101212
212264,101189
212307,101155
212350,101133
212393,101140
212436,101145
212479,101149
212522,101157
212565,101181
212608,101206
212651,101215
212694,101225
212737,101238
212780,101252
212823,101257
212866,101253
212909,101255
212952,101245
212995,101240
213038,101230
213081,101216
213124,101206
213167,101187
213210,101169
213253,101154
213296,101148
213339,101151
213382,101158
213425,101171
213468,101184
213511,101213
213554,101220
213597,101235
213640,101251
213683,101256
213726,101257
213769,101256
213812,101245
213855,101249
213898,101235
213941,101213
213984,101190
214027,101169
214070,101155
214113,101149
214156,101150
214199,101154
214242,101164
214285,101177
214328,101198
214371,101213
214414,101228
214457,101238
214500,101251
214543,101256
214586,101258
214629,101262
214672,101251
214715,101245
214758,101235
214801,101209
214844,101187
214887,101167
214930,101153
214973,101142
215016,101142
215059,101152
215102,101173
215145,101203
215188,101216
215231,101227
215274,101241
215317,101252
215360,101264
215403,101269
215446,101267
215489,101259
215532,101250
215575,101237
215618,101211
215661,101195
215704,101175
215747,101151
215790,101133
215833,101144
215876,101147
215919,101168
215962,101189
216005,101215
216048,101227
216091,101236
216134,101251
216177,101265
216220,101265
216263,101261
216306,101260
216349,101247
216392,101216
216435,101193
216478,101163
216521,101144
216564,101136
216607,101145
216650,101155
216693,101169
216736,101188
216779,101200
216822,101211
216865,101221
216908,101232
216951,101246
216994,101251
217037,101262
217080,101258
217123,101253
217166,101248
217209,101233
217252,101214
217295,101201
217338,101185
217381,101168
217424,101167
217467,101157
217510,101148
217553,101143
217596,101154
217639,101171
217682,101186
217725,101208
217768,101215
217811,101230
217854,101236
217897,101252
217940,101248
217983,101245
218026,101248
218069,101236
218112,101228
